VENTAS,COMERCIAL
OPERACIONES,COMERCIAL
I+D,COMERCIAL
RRHH,ADMINISTRACION
CONTABILIDAD,ADMINISTRACION
TESORERIA,ADMINISTRACION
LOCAL,LOGISTICA
ADQUISICIONES,LOGISTICA
DESPACHO,LOGISTICA
VEHICULO,LOGISTICA
GASTOS SIN COMPROBANTES,GASTOS SIN COMPROBANTES
GG,GG
GASTOS SIN COMPROBANTE,GASTOS SIN COMPROBANTE
VENTA,COMERCIAL
